ds,escenario_neutro,escenario_positivo,escenario_negativo
2023-08-21,1.073259323802742,1.126922289992879,1.0195963576126048
2023-08-22,1.073064950030284,1.1267181975317984,1.0194117025287697
2023-08-23,1.0732749189202837,1.126938664866298,1.0196111729742694
2023-08-24,1.0732138674104954,1.1268745607810202,1.0195531740399706
2023-08-25,1.073319509380328,1.1269854848493446,1.0196535339113115
2023-08-28,1.073180226309511,1.1268392376249865,1.0195212149940354
2023-08-29,1.0730320757573764,1.1266836795452453,1.0193804719695074
2023-08-30,1.0732857570067984,1.1269500448571383,1.0196214691564585
2023-08-31,1.0732635516219342,1.126926729203031,1.0196003740408375
2023-09-01,1.0734009819624433,1.1270710310605654,1.0197309328643211
2023-09-05,1.0731345895672058,1.126791319045566,1.0194778600888454
2023-09-06,1.0733607523878723,1.127028790007266,1.0196927147684787
2023-09-07,1.0732966515590625,1.1269614841370157,1.0196318189811093
2023-09-08,1.0733778592170566,1.1270467521779095,1.0197089662562038
2023-09-11,1.0730251271853468,1.1266763835446143,1.0193738708260793
2023-09-12,1.072758616366452,1.1263965471847746,1.0191206855481294
2023-09-13,1.0728718753487536,1.1265154691161914,1.0192282815813158
2023-09-14,1.0726891853602076,1.126323644628218,1.0190547260921972
2023-09-15,1.0726487552846653,1.1262811930488985,1.019016317520432
2023-09-18,1.071942363240101,1.1255394814021062,1.0183452450780959
2023-09-19,1.0715721927488122,1.1251508023862529,1.0179935831113716
2023-09-20,1.0715942164889567,1.1251739273134045,1.018014505664509
2023-09-21,1.0713357908372263,1.1249025803790877,1.0177690012953649
2023-09-22,1.0712380184633714,1.1247999193865401,1.0176761175402027
2023-09-25,1.0704945920719815,1.1240193216755807,1.0169698624683823
2023-09-26,1.0701633526924643,1.1236715203270875,1.0166551850578411
2023-09-27,1.0702518959776801,1.1237644907765643,1.016739301178796
2023-09-28,1.070087923693963,1.1235923198786613,1.016583527509265
2023-09-29,1.0701122778634902,1.1236178917566648,1.0166066639703155
2023-10-02,1.0698891496253768,1.1233836071066456,1.016394692144108
2023-10-03,1.069775422811997,1.1232641939525967,1.016286651671397
2023-10-04,1.0700983717797672,1.1236032903687556,1.0165934531907788
2023-10-05,1.0701817665605884,1.1236908548886178,1.016672678232559
2023-10-06,1.0704620327995065,1.1239851344394818,1.0169389311595312
2023-10-09,1.0710081062843713,1.1245585115985899,1.0174577009701526
2023-10-10,1.0711334348460015,1.1246901065883017,1.0175767631037014
2023-10-11,1.0716775999306776,1.1252614799272116,1.0180937199341435
2023-10-12,1.0719589594266452,1.1255569073979774,1.018361011455313
2023-10-13,1.0724087502534188,1.1260291877660897,1.0187883127407478
2023-10-16,1.0732466715135285,1.126909005089205,1.019584337937852
2023-10-17,1.0733843847940459,1.1270536040337482,1.0197151655543435
2023-10-18,1.0738938582085797,1.1275885511190087,1.0201991652981508
2023-10-19,1.0740918699873276,1.1277964634866942,1.0203872764879611
2023-10-20,1.0744089661995715,1.1281294145095502,1.0206885178895928
2023-10-23,1.0745599073637788,1.1282879027319679,1.0208319119955898
2023-10-24,1.0743794954976524,1.1280984702725352,1.0206605207227697
2023-10-25,1.0745321903357277,1.1282587998525142,1.0208055808189411
2023-10-26,1.074339623939711,1.1280566051366965,1.0206226427427254
2023-10-27,1.074237969651249,1.1279498681338114,1.0205260711686865
2023-10-30,1.0730294120931685,1.126680882697827,1.01937794148851
2023-10-31,1.072385682413061,1.1260049665337142,1.018766398292408
2023-11-01,1.0720828095753379,1.125686950054105,1.0184786690965708
2023-11-02,1.0714502298145836,1.1250227413053129,1.0178777183238543
2023-11-03,1.0709317797270148,1.1244783687133657,1.017385190740664
2023-11-06,1.0686834860599772,1.122117660362976,1.0152493117569783
